Branch,Customer Name,Invoice,Work Order, QW Total , SAP Total , Discrepancy ,Cause,Dept Impacted,Date
ABQ,Walmart,V20082990,W241458,1558.55,1236.92,-18.56,Part Pricing - Raymond,Service,08/04/21
ABQ,Walmart,V20083324,W241823,411.60,411.13,-0.47,Part Pricing - Raymond,Service,08/19/21
ABQ,Walmart,V20083459,W241917,1079.09,1004.26,-74.83,Part Pricing - Raymond,Service,08/19/21
ABQ,Walmart,V20084038,W242222,563.63,559.89,-3.74,Part Pricing - Raymond,Service,10/05/21
ABQ,Walmart,V20084058,W242123,477.13,475.96,-1.17,Part Pricing - Raymond,Service,10/05/21
ABQ,Walmart,V20080123,W239564,1594.25,1482.60,-107.59,Quote - Not Flat Rated,Service,04/14/21
ABQ,Walmart,V20082990,W241458,1558.55,1236.92,-319.28,Quote - Not Flat Rated,Service,08/04/21
ABQ,Grainger,V20079299,SM2037096,81.38,75.00,-6.38,Environmental Fee,Service,03/11/21
ABQ,Grainger,V20081649,W240797,193.50,186.73,-6.77,Incorrect Labor Rate,Service,06/15/21
ABQ,Walmart,V20081652,C2021803,127.11,114.99,-12.12,Part Pricing - Raymond,Parts,06/04/21
DEN,Aramsco,V10312364,SM1129943,124.52,110.20,-14.32,Consumables,Service,02/11/21
DEN,Aramsco,V10313562,SM1130062,136.77,119.85,-16.92,Consumables,Service,02/24/21
DEN,Aramsco,V10334621,W1079892,478.20,461.94,-16.26,Part Pricing - TVH/Durasource,Service,09/27/21
DEN,Aramsco,V10334950,W1080307,181.04,178.38,-2.66,Part Pricing - TVH/Durasource,Service,09/28/21
DEN,Amazon,V40005403,W407072,71.63,71.64,21.51,Entry Error - Labor Quantity,Mountain Power,03/04/21
DEN,Amazon,V40005403,W407072,71.63,71.64,-21.50,Incorrect Labor Rate,Mountain Power,03/04/21
DEN,Amazon,V10322423,C1084871,2814.09,2288.28,-2288.28,Unpaid - Review Status,Parts,06/07/21
DEN,Amazon,V10308479,C1064993,260.00,0.00,-260.00,Unpaid - Cancel Status,Parts,01/07/21
DEN,Amazon,V10308494,C1067596,854.20,0.00,-854.20,Unpaid - Cancel Status,Parts,01/07/21
DEN,Amazon,V10322423,C1084871,2814.09,2288.28,-525.81,Over NTE,Parts,06/07/21
DEN,Amazon,V10313861,SM1130350-1,118.68,80.00,-38.68,Consumables,Service,02/26/21
DEN,Amazon,V10313863,SM1130354,92.24,80.00,-12.24,Consumables,Service,02/26/21
DEN,Amazon,V10315451,SM1131349,104.16,75.00,-29.16,Consumables,Service,03/16/21
DEN,Amazon,V10315465,SM1131352,99.08,75.00,-24.08,Consumables,Service,03/16/21
DEN,Amazon,V10315468,SM1131354,119.72,75.00,-44.72,Consumables,Service,03/16/21
DEN,Amazon,V10315441,SM1131657,71.24,59.00,-12.24,Consumables,Service,03/16/21
DEN,Amazon,V10316382,SM1131997,63.73,59.00,-4.73,Consumables,Service,03/25/21
DEN,Amazon,V10316452,SM1131330,92.24,80.00,-12.24,Consumables,Service,03/26/21
DEN,Amazon,V10316472,SM1132099,73.60,59.00,-14.60,Consumables,Service,03/26/21
DEN,Amazon,V10316468,SM1132181,181.92,165.00,-16.92,Consumables,Service,03/26/21
DEN,Amazon,V10316469,SM1132232,193.04,165.00,-28.04,Consumables,Service,03/26/21
DEN,Amazon,V10318239,SM1132919,49.90,45.00,-4.90,Consumables,Service,04/13/21
DEN,Amazon,V10318242,SM1132930,92.24,80.00,-12.24,Consumables,Service,04/13/21
DEN,Amazon,V10318923,SM1132916,89.80,80.00,-9.80,Consumables,Service,04/20/21
DEN,Amazon,V10322671,SM1134810,110.25,80.00,-30.25,Consumables,Service,05/28/21
DEN,Amazon,V10323487,SM1135436,93.33,80.00,-13.33,Consumables,Service,06/09/21
DEN,Amazon,V10324240,SM1135432,93.33,80.00,-13.33,Consumables,Service,06/16/21
DEN,Amazon,V10324238,SM1135612,85.08,80.00,-5.08,Consumables,Service,06/16/21
DEN,Amazon,V10324413,SM1135429,64.08,59.00,-5.08,Consumables,Service,06/17/21
DEN,Amazon,V10324412,SM1135435,85.08,80.00,-5.08,Consumables,Service,06/17/21
DEN,Amazon,V10324703,SM1135615,85.08,80.00,-5.08,Consumables,Service,06/22/21
DEN,Amazon,V10324856,SM1135431,85.08,80.00,-5.08,Consumables,Service,06/23/21
DEN,Amazon,V10324852,SM1135434,85.08,80.00,-5.08,Consumables,Service,06/23/21
DEN,Amazon,V10324851,SM1135611,85.08,80.00,-5.08,Consumables,Service,06/23/21
DEN,Amazon,V10324857,SM1135614,85.08,80.00,-5.08,Consumables,Service,06/23/21
DEN,Amazon,V10327365,SM1136856-1,80.08,75.00,-5.08,Consumables,Service,07/20/21
DEN,Amazon,V10327375,SM1136859-1,187.00,165.00,-22.00,Consumables,Service,07/20/21
DEN,Amazon,V10327370,SM1136860-1,85.08,80.00,-5.08,Consumables,Service,07/20/21
DEN,Amazon,V10327368,SM1136861-1,88.33,75.00,-13.33,Consumables,Service,07/20/21
DEN,Amazon,V10327575,SM1136892,100.08,95.00,-5.08,Consumables,Service,07/22/21
DEN,Amazon,V10328660,W1075931,455.08,450.00,-5.08,Consumables,Service,07/29/21
DEN,Amazon,V10329535,SM1138035,87.22,80.00,-7.22,Consumables,Service,08/06/21
DEN,Amazon,V10329536,SM1138041-1,112.39,80.00,-32.39,Consumables,Service,08/06/21
DEN,Amazon,V10330178,SM1138066-1,112.39,80.00,-32.39,Consumables,Service,08/13/21
DEN,Amazon,V10330320,SM1138065,87.22,80.00,-7.22,Consumables,Service,08/16/21
DEN,Amazon,V10330584,SM1138074-1,96.66,80.00,-16.66,Consumables,Service,08/18/21
DEN,Amazon,V10333332,SM1139591,106.18,80.00,-26.18,Consumables,Service,09/15/21
DEN,Amazon,V10333333,SM1139592,87.22,80.00,-7.22,Consumables,Service,09/15/21
DEN,Amazon,V10335777,SM1140611,87.22,80.00,-7.22,Consumables,Service,10/06/21
DEN,Amazon,V10336685,SM1140614,106.58,80.00,-26.58,Consumables,Service,10/14/21
DEN,Amazon,V10336833,SM1141085,87.22,80.00,-7.22,Consumables,Service,10/18/21
DEN,Amazon,V10318696,W1067107,1316.71,1214.41,-81.61,Entry Error - Freight,Service,04/16/21
DEN,Amazon,V10318697,W1069866,526.67,467.03,-28.50,Entry Error - Freight,Service,04/16/21
DEN,Amazon,V10320794,W1071927,168.24,135.00,-33.24,Entry Error - Freight,Service,05/07/21
DEN,Amazon,V10326877,W1075858,380.74,378.07,0.09,Entry Error - Freight,Service,07/15/21
DEN,Amazon,V10328134,SM1136859-2,185.42,183.60,-0.74,Entry Error - Freight,Service,07/26/21
DEN,Amazon,V10309580,W1064053,381.78,349.72,-21.00,Entry Error - Labor Quantity,Service,01/14/21
DEN,Amazon,V10316376,SM1131949-2,435.80,413.38,-7.16,Entry Error - Part Quantity,Service,03/25/21
DEN,Amazon,V10330814,W1078376,561.36,536.94,24.12,Entry Error - Part Quantity,Service,08/20/21
DEN,Amazon,V10327265,W1076032-1,180.00,202.50,22.50,Entry Error - Travel Quantity,Service,07/19/21
DEN,Amazon,V10311282,W1064783,2990.25,2748.44,-90.00,Entry Error - Travel Rate,Service,01/29/21
DEN,Amazon,V10313888,W1066692,213.63,209.67,-17.20,Incorrect Labor Rate,Service,02/26/21
